first_peak,last_peak,gradient,_max_peak,_min_peak,signal_mean,signal_variance,sknewness,direction,
2.9296875,2.817382813,-0.021638889,4.995117188,0,2.491932998,1.143490406,,no-cross-left,
2.080078125,2.802734375,0.132362814,4.995117188,0,2.492594071,1.148864286,,no-cross-left,
2.192382813,3.037109375,0.148204721,4.370117188,0,2.49098375,1.114776997,,no-cross-left,
2.163085938,2.807617188,0.109616343,4.62890625,0,2.492068538,1.093021369,,no-cross-left,
2.119140625,2.822265625,0.116599402,4.995117188,0,2.491509046,1.130863956,,no-cross-left,
2.16796875,2.8125,0.102793289,4.995117188,0,2.491240662,1.164516025,,no-cross-left,
2.192382813,2.817382813,0.109069883,4.995117188,0,2.490813236,1.174280702,,no-cross-left,
2.119140625,2.8125,0.111654902,4.995117188,0,2.49054012,1.194828255,,no-cross-left,
2.807617188,2.163085938,-0.103292759,4.995117188,0,2.461465804,1.435142868,,no-cross-right,
,,,,,,,,,
2.817382813,2.192382813,-0.099210187,4.995117188,0,2.466803485,1.519101799,,no-cross-right,
,,,,,,,,,
2.83203125,2.124023438,-0.116826226,4.995117188,0,2.474398226,1.573317714,,no-cross-right,
,,,,,,,,,
2.817382813,2.124023438,-0.100920309,4.995117188,0,2.47387866,1.578913756,,no-cross-right,
,,,,,,,,,
2.841796875,2.807617188,-0.005584842,4.995117188,0,2.47265829,1.545484203,,no-cross-right,
,,,,,,,,,
2.807617188,2.807617188,0,4.995117188,0,2.471811441,1.529828519,,no-cross-right,
,,,,,,,,,
2.817382813,2.807617188,-0.001542901,4.995117188,0,2.471013145,1.510272249,,no-cross-right,
,,,,,,,,,
2.846679688,2.807617188,-0.005737076,4.995117188,0,2.471333368,1.462814422,,no-cross-right,
,,,,,,,,,
2.8125,2.807617188,-0.000797849,4.995117188,0,2.471482059,1.458492276,,no-cross-right,
,,,,,,,,,
2.8125,2.807617188,-0.000760548,4.995117188,0,2.470891443,1.447643461,,no-cross-right,
,,,,,,,,,
2.802734375,2.8125,0.001493287,4.995117188,0,2.470892689,1.434580429,,no-cross-right,
,,,,,,,,,
2.915039063,2.83203125,-0.013112645,4.995117188,0,2.470463146,1.415764703,,no-cross-right,
,,,,,,,,,
2.802734375,2.8125,0.001403097,4.995117188,0,2.470703125,1.405698038,,no-cross-right,
2.099609375,2.133789063,0.005557718,4.995117188,0,2.476572533,1.427200576,,no-cross-right,
,,,,,,,,,
2.817382813,3.6328125,0.140846712,4.995117188,0,2.46065719,1.477572083,,no-cross-right,
,,,,,,,,,
3.251953125,2.836914063,-0.053416681,4.995117188,0,2.470761047,1.402830508,,no-cross-right,
,,,,,,,,,
2.807617188,2.822265625,0.00231442,4.995117188,0,2.472198567,1.385731805,,no-cross-right,
,,,,,,,,,
2.802734375,2.802734375,0,4.995117188,0,2.47196176,1.369129742,,no-cross-right,
,,,,,,,,,
2.119140625,2.822265625,0.115450898,4.995117188,0,2.471661942,1.353325288,,no-cross-right,
,,,,,,,,,
2.8125,2.807617188,-0.000736504,4.995117188,0,2.471972118,1.334823947,,no-cross-right,
,,,,,,,,,
2.822265625,2.83203125,0.001542836,4.995117188,0,2.471857555,1.330452224,,no-cross-right,
,,,,,,,,,
2.802734375,2.822265625,0.003000581,4.995117188,0,2.472300378,1.333424025,,no-cross-right,
,,,,,,,,,
2.8515625,2.807617188,-0.006569269,4.995117188,0,2.473337834,1.339882652,,no-cross-right,
,,,,,,,,,
2.8125,2.05078125,-0.218884082,4.995117188,0.25390625,2.475491141,1.336724181,,no-cross-right,
,,,,,,,,,
1.923828125,2.827148438,0.350085373,4.370117188,0,2.472012207,1.333960732,,no-cross-right,
,,,,,,,,,
2.8125,2.8125,0,4.995117188,0,2.472177554,1.324522885,,no-cross-right,
,,,,,,,,,
2.846679688,2.822265625,-0.00355372,4.995117188,0,2.471715924,1.324951772,,no-cross-right,
2.172851563,2.822265625,0.102112266,4.995117188,0,2.505366559,1.584076943,,no-cross-left,
,,,,,,,,,
2.172851563,2.807617188,0.096614907,4.995117188,0,2.492258021,1.638968058,,no-cross-left,
,,,,,,,,,
2.158203125,2.8125,0.099126481,4.995117188,0,2.483144758,1.623073606,,no-cross-left,
,,,,,,,,,
2.158203125,2.8125,0.094019221,4.995117188,0,2.47863577,1.609024164,,no-cross-left,
,,,,,,,,,
2.177734375,2.817382813,0.094766986,4.995117188,0,2.476621686,1.603309199,,no-cross-left,
,,,,,,,,,
2.16796875,2.8125,0.089524653,4.995117188,0,2.475935439,1.594756615,,no-cross-left,
,,,,,,,,,
2.172851563,3.002929688,0.134328632,4.995117188,0,2.474136039,1.6142672,,no-cross-left,
,,,,,,,,,
2.075195313,2.983398438,0.146968219,4.995117188,0,2.472407985,1.617452066,,no-cross-left,
,,,,,,,,,
2.021484375,2.973632813,0.138002677,4.995117188,0,2.472341653,1.597659859,,no-cross-left,
,,,,,,,,,
2.197265625,2.836914063,0.085634235,4.995117188,0,2.473384733,1.582920073,,no-cross-left,
,,,,,,,,,
2.16796875,2.817382813,0.085898197,4.995117188,0,2.473160515,1.575070445,,no-cross-left,
,,,,,,,,,
2.192382813,2.954101563,0.105353216,4.995117188,0,2.472499366,1.573997334,,no-cross-left,
